data_hora,pressao,temperatura
02/02/2018 10:59,0.104611,29.2402
02/02/2018 11:00,0.107221,29.2145
02/02/2018 11:00,0.108306,29.1861
02/02/2018 11:00,0.10736,29.154
02/02/2018 11:00,0.105892,29.1219
02/02/2018 11:00,0.105935,29.0931
02/02/2018 11:00,0.107765,29.0661
02/02/2018 11:00,0.11061,29.0406
02/02/2018 11:00,0.11009,29.0153
02/02/2018 11:00,0.113697,28.9905
02/02/2018 11:00,0.108202,28.9712
02/02/2018 11:00,0.094439,28.9518
02/02/2018 11:00,0.119955,28.9317
02/02/2018 11:01,0.102082,28.9095
02/02/2018 11:01,0.086547,28.8858
02/02/2018 11:01,0.080045,28.8629
02/02/2018 11:01,0.080222,28.8437
02/02/2018 11:01,0.083467,28.8281
02/02/2018 11:01,0.087714,28.8157
02/02/2018 11:01,0.091683,28.8054
02/02/2018 11:01,0.094602,28.7968
02/02/2018 11:01,0.097509,28.7896
02/02/2018 11:01,0.099372,28.7834
02/02/2018 11:01,0.100971,28.7779
02/02/2018 11:01,0.101792,28.7728
02/02/2018 11:02,0.102348,28.7684
02/02/2018 11:02,0.102643,28.7642
02/02/2018 11:02,0.102936,28.7604
02/02/2018 11:02,0.10297,28.7565
02/02/2018 11:02,0.103,28.7532
02/02/2018 11:02,0.103028,28.7499
02/02/2018 11:02,0.102799,28.7466
02/02/2018 11:02,0.102566,28.7437
02/02/2018 11:02,0.102078,28.7404
02/02/2018 11:02,0.101845,28.7375
02/02/2018 11:02,0.101352,28.7348
02/02/2018 11:02,0.10112,28.7317
02/02/2018 11:03,0.100887,28.7289
02/02/2018 11:03,0.100653,28.7261
02/02/2018 11:03,0.100161,28.7232
02/02/2018 11:03,0.099926,28.7206
02/02/2018 11:03,0.099695,28.7174
02/02/2018 11:03,0.099201,28.7147
02/02/2018 11:03,0.098967,28.7119
02/02/2018 11:03,0.098476,28.7089
02/02/2018 11:03,0.097985,28.7059
02/02/2018 11:03,0.097495,28.7029
02/02/2018 11:03,0.09726,28.7001
02/02/2018 11:03,0.096772,28.6967
02/02/2018 11:04,0.096539,28.6938
02/02/2018 11:04,0.096047,28.6909
02/02/2018 11:04,0.095816,28.6877
02/02/2018 11:04,0.095583,28.6846
02/02/2018 11:04,0.095352,28.6814
02/02/2018 11:04,0.09538,28.6782
02/02/2018 11:04,0.094891,28.6749
02/02/2018 11:04,0.094917,28.6718
02/02/2018 11:04,0.094689,28.6682
02/02/2018 11:04,0.09446,28.6648
02/02/2018 11:04,0.094233,28.661
02/02/2018 11:04,0.093748,28.6572
02/02/2018 11:05,0.09352,28.6535
02/02/2018 11:05,0.093036,28.6497
02/02/2018 11:05,0.092552,28.6458
02/02/2018 11:05,0.092068,28.6418
02/02/2018 11:05,0.091839,28.6382
02/02/2018 11:05,0.091615,28.634
02/02/2018 11:05,0.091131,28.6302
02/02/2018 11:05,0.091161,28.6265
02/02/2018 11:05,0.090678,28.6224
02/02/2018 11:05,0.090453,28.6183
02/02/2018 11:05,0.090226,28.6144
02/02/2018 11:05,0.090002,28.6103
02/02/2018 11:06,0.089778,28.6061
02/02/2018 11:06,0.089553,28.6019
02/02/2018 11:06,0.089587,28.5977
02/02/2018 11:06,0.089106,28.5934
02/02/2018 11:06,0.089139,28.5891
02/02/2018 11:06,0.088658,28.5848
02/02/2018 11:06,0.088433,28.5806
02/02/2018 11:06,0.088211,28.5761
02/02/2018 11:06,0.087986,28.5718
02/02/2018 11:06,0.088021,28.5675
02/02/2018 11:06,0.087541,28.5629
02/02/2018 11:06,0.087319,28.5583
02/02/2018 11:07,0.086836,28.554
02/02/2018 11:07,0.086612,28.5496
02/02/2018 11:07,0.086388,28.5452
02/02/2018 11:07,0.086165,28.5407
02/02/2018 11:07,0.085943,28.5361
02/02/2018 11:07,0.085458,28.532
02/02/2018 11:07,0.085492,28.5277
02/02/2018 11:07,0.085266,28.5234
02/02/2018 11:07,0.085043,28.5189
