data_hora,pressao,temperatura
03/02/2018 17:11,74.168296,120.2734
03/02/2018 17:11,74.159573,120.2729
03/02/2018 17:11,74.15395,120.2725
03/02/2018 17:11,74.152557,120.272
03/02/2018 17:11,74.149688,120.2717
03/02/2018 17:11,74.145724,120.2712
03/02/2018 17:11,74.141727,120.2709
03/02/2018 17:11,74.142622,120.2704
03/02/2018 17:11,74.140914,120.27
03/02/2018 17:11,74.143368,120.2697
03/02/2018 17:11,74.140316,120.2692
03/02/2018 17:12,74.147944,120.2687
03/02/2018 17:12,74.148955,120.2684
03/02/2018 17:12,74.153515,120.2679
03/02/2018 17:12,74.161641,120.2676
03/02/2018 17:12,74.166267,120.267
03/02/2018 17:12,74.170164,120.2666
03/02/2018 17:12,74.174376,120.2662
03/02/2018 17:12,74.183695,120.2657
03/02/2018 17:12,74.189814,120.2654
03/02/2018 17:12,74.198818,120.265
03/02/2018 17:12,74.20779,120.2647
03/02/2018 17:12,74.219414,120.2646
03/02/2018 17:13,74.233742,120.2642
03/02/2018 17:13,74.241105,120.2642
03/02/2018 17:13,74.255814,120.2637
03/02/2018 17:13,74.264818,120.2633
03/02/2018 17:13,74.28228,120.2628
03/02/2018 17:13,74.29664,120.2624
03/02/2018 17:13,74.307999,120.2619
03/02/2018 17:13,74.320104,120.2615
03/02/2018 17:13,74.339672,120.2609
03/02/2018 17:13,74.359952,120.2605
03/02/2018 17:13,74.373284,120.2599
03/02/2018 17:13,74.394378,120.2595
03/02/2018 17:14,74.414194,120.259
03/02/2018 17:14,74.433379,120.2585
03/02/2018 17:14,74.452035,120.258
03/02/2018 17:14,74.46928,120.2575
03/02/2018 17:14,74.491882,120.257
03/02/2018 17:14,74.513671,120.2564
03/02/2018 17:14,74.534017,120.2559
03/02/2018 17:14,74.556751,120.2552
03/02/2018 17:14,74.580231,120.2547
03/02/2018 17:14,74.601174,120.2541
03/02/2018 17:14,74.626876,120.2536
03/02/2018 17:14,74.649544,120.253
03/02/2018 17:15,74.673123,120.2523
03/02/2018 17:15,74.700334,120.2516
03/02/2018 17:15,74.722752,120.2509
03/02/2018 17:15,74.746132,120.2505
03/02/2018 17:15,74.772614,120.2501
03/02/2018 17:15,74.800289,120.2496
03/02/2018 17:15,74.829688,120.2491
03/02/2018 17:15,74.857711,120.2484
03/02/2018 17:15,74.881472,120.2479
03/02/2018 17:15,74.912661,120.2472
03/02/2018 17:15,74.937616,120.2465
03/02/2018 17:15,74.96655,120.2458
03/02/2018 17:16,74.995583,120.2449
03/02/2018 17:16,75.02402,120.2441
03/02/2018 17:16,75.05433,120.2435
03/02/2018 17:16,75.083512,120.2428
03/02/2018 17:16,75.114419,120.2421
03/02/2018 17:16,75.142789,120.2414
03/02/2018 17:16,75.17401,120.2406
03/02/2018 17:16,75.205927,120.2396
03/02/2018 17:16,75.237215,120.2388
03/02/2018 17:16,75.267125,120.2379
03/02/2018 17:16,75.299441,120.2371
03/02/2018 17:16,75.33091,120.2364
03/02/2018 17:17,75.362545,120.2355
03/02/2018 17:17,75.398093,120.2345
03/02/2018 17:17,75.427091,120.2337
03/02/2018 17:17,75.457663,120.2327
03/02/2018 17:17,75.490359,120.2318
03/02/2018 17:17,75.5239,120.2309
03/02/2018 17:17,75.558103,120.2299
03/02/2018 17:17,75.588693,120.2292
03/02/2018 17:17,75.6222,120.2284
03/02/2018 17:17,75.65652,120.2277
03/02/2018 17:17,75.690243,120.227
03/02/2018 17:17,75.724911,120.2261
03/02/2018 17:18,75.758732,120.2252
03/02/2018 17:18,75.793366,120.2244
03/02/2018 17:18,75.828,120.2236
03/02/2018 17:18,75.863911,120.223
03/02/2018 17:18,75.900269,120.2221
03/02/2018 17:18,75.934621,120.2213
03/02/2018 17:18,75.971293,120.2204
03/02/2018 17:18,76.00455,120.2195
03/02/2018 17:18,76.039779,120.2187
03/02/2018 17:18,76.079519,120.2178
03/02/2018 17:18,76.114715,120.217
03/02/2018 17:18,76.15389,120.2161
03/02/2018 17:19,76.1895,120.2151
03/02/2018 17:19,76.228458,120.2141
03/02/2018 17:19,76.264532,120.2133
03/02/2018 17:19,76.300042,120.2124
03/02/2018 17:19,76.340095,120.2115
03/02/2018 17:19,76.377296,120.2106
